name,href
7-Eleven #36745,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=87170E9DB1C5C07788257C780076B81F
7 Eleven Food Store 17481 A,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=0E89A0CABE8BB90588257C780076ADA0
7 Eleven Store #36743A,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=99757B692ACBBADD852581DB006B7A2A
7 Eleven #36116A,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=963A08475CD25D2988257C780076B58F
7 Eleven #36725,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=20E6595D5D98B5ED88257C780076B812
7 Eleven #36735,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=EA3F918656248E4F8525810500606EF8
7 Eleven #36736A,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=797C238581C84E1388257C780076B2FD
7 Eleven #36741 H,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=E81B093C8629BCEC85258084005CAE62
700 Beta Banquet & Conference Center,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=FF2FE6EAF4A1A57E88257C780076AE8D
786 Foods Inc dba Simons Supermarket,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=668F5A9B56434E5885257FF800574FA3
808 Shave Ice,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=D90F9967B6565747852580FF005EBA0C
"8158 Broadview Pizza, Llc Dba Danny Boy's Pizza",/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=8D2F1354BC987D3588257C780076A76D
87 West 2,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=EF20786DA5C40E1088257C780076B7A6
871 Rocky River Drive Inc,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=994CF0543B11FB8288257C780076A71D
A Childs View,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=0C87373383025D9588257C780076AFFD
A Cookie and a Cupcake,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=05CE8F7C5E9A372E85257DE4006FFD6F
"A Kids Place Childcare, Inc",/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=F6200C7DCE453C9988257C780076B00B
A Luncheon Time Cleveland,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=D7A951974EC70A2F88257C780076A58E
A M Mcgregor Home,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=2FF9AAF9F0A7B06188257C780076A9C7
A Meal to Remember,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=B146475A9975EA1A8525811E0054DDBE
A Taste Above Inc.,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=9F75E8B057DB72B988257C780076AE16
A Taste of Excellence,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=0545C7AC3098A40288257C780076B614
A & M Concessions,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=5232D7D84A7A7DB08525800C00465934
A & M Food Mart,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=62C0F37184824CF985257DF500664377
Aaa Cafe,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=D12C3446E21685FA88257C780076AC6F
Aadh Llc/Subway,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=9C365F5748F4657B88257C780076AFF7
Aberdeen Crossings,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=44631409D60311DC85257F540069A7F5
Abo's Grill,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=CD2167B2CEC0537E85257EAF006BB797
Abraham Lincoln,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=E43801E885ED735088257C780076AE47
Abuelo's Mexican Food Embassy,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=246C35F8484A3EBD88257C780076B719
Abundant Living Child Care,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=A4DE36D16B53E06188257C780076B050
